"Title","Date"
"KOSA 초거대AI추진협의회, 문체부 'AI-저작권 관련 활용 가이드' 개정 요..."," 인공지능신문2023.12.27. "
"AI 윤석열·이재명 못 본다"," 채널A언론사 선정2023.12.05.네이버뉴스 "
"황종성 NIA 원장 ""韓 AI 경쟁력 키우려면 법제도 정립해야"""," 아이뉴스242023.12.11.네이버뉴스 "
"AI 한발늦은 유럽…소형모델로 틈새 노린다"," 매일경제A16면 TOP2023.12.12.네이버뉴스 "
"유럽연합 AI규제법 합의...규정 위반시 매출 7% 벌금"," 이코노믹리뷰2023.12.09. "
"방송계 “AI, 우리 영상 무단 학습 안 돼”…빅테크사에 의견서"," 한겨레2023.12.14.네이버뉴스 "
"한국방송협회 ""AI 학습에 방송 뉴스 이용하려면 보상 필요"""," 뉴스12023.12.14.네이버뉴스 "
"'AI 윤석열·이재명' 못 쓴다…딥페이크 선거운동 금지"," MBN언론사 선정2023.12.05.네이버뉴스 "
"2023년 미디어 이슈 결산 세계 편: 생성형 AI"," 슬로우뉴스2023.12.18. "
"MIT그룹, AI 거버넌스 발표… AI 규제 논의 본격화"," 매일경제2023.12.12.네이버뉴스 "
"EU, AI 규제안 전면 보류되나…프랑스 독일 이탈리아 이탈"," 매일경제언론사 선정2023.12.03.네이버뉴스 "
"결이 다른 미국과 유럽연합의 AI 규제... 속내는?"," 이코노믹리뷰2023.12.14. "
"EU, AI 규제안 전면 보류되나…프랑스 독일 이탈리아 이탈"," 매일경제언론사 선정2023.12.03.네이버뉴스 "
"결이 다른 미국과 유럽연합의 AI 규제... 속내는?"," 이코노믹리뷰2023.12.14. "
"EU, 세계 최초 'AI법' 제정...""기술자보다 변호사 고용해야 할 판"" 비판도"," 파이낸셜뉴스언론사 선정2023.12.10.네이버뉴스 "
"EU, 세계 첫 'AI 규제법' 합의…""얼굴인식 정보 수집 금지"""," 한국경제A3면 1단2023.12.10.네이버뉴스 "
"바이든, 8천860억 달러 규모 국방수권법안 서명"," VOA2023.12.23. "
"EU AI 법, 美빅테크 겨냥… AI 생태계 놓고 ‘글로벌 대전’"," 법률신문2023.12.14. "
"세계 최초 ‘AI 규제법’ 만든 EU, MS의 오픈AI 투자 반독점 조사"," 서울신문10면 1단2023.12.11.네이버뉴스 "
"[아이포럼 2023] ""AI, 기술-윤리의 균형점 찾아야…AI 거버넌스 구축 필..."," 아이뉴스24언론사 선정2023.12.06.네이버뉴스 "
"결혼때 양가지원 3억까지 … 교사 AI교육에 교부금"," 매일경제A4면 1단2023.12.21.네이버뉴스 "
"내년 총선 90일 전부터 ‘AI 윤석열’ 금지된다"," 서울신문언론사 선정2023.12.04.네이버뉴스 "
"내년 총선 90일 전부터 ‘AI 윤석열’ 금지된다"," 서울신문언론사 선정2023.12.04.네이버뉴스 "
"뜨거워진 AI 경쟁 '3파전'...EU, 세계 첫 'AI 규제법' 타결"," YTN2023.12.10.네이버뉴스 "
"정년 앞둔 고법 부장이 던진 재판지연 대책…“AI 도입하자”"," 중앙일보2023.12.20.네이버뉴스 "
"34만 AI디지털 교사 양성 '골든타임' 놓칠라…교부금법 개정안 촉각"," 전자신문언론사 선정2면 TOP2023.12.17.네이버뉴스 "
"인공지능 규제하는 유럽…의료 AI 기업에 '적신호' 될까 [Why 바이오]"," 서울경제2023.12.11.네이버뉴스 "
